gene,Time,group,Signal,P-Value,Tissue,Replicate,,
HsfA2,0.5,Control,142.58,0.031,Root,1,,
HsfA2,0.5,Control,87.16,0.045,Root,2,,
HsfA2,1,Control,61.35,0.037,Root,1,,
HsfA2,1,Control,32.70,0.429,Root,2,,
HsfA2,3,Control,377.96,0.002,Root,1,,
HsfA2,3,Control,347.18,0.005,Root,2,,
HsfA2,6,Control,156.00,0.013,Root,1,,
HsfA2,6,Control,101.18,0.025,Root,2,,
HsfA2,12,Control,195.01,0.006,Root,1,,
HsfA2,12,Control,87.10,0.016,Root,2,,
HsfA2,24,Control,305.35,0.003,Root,1,,
HsfA2,24,Control,254.50,0.016,Root,2,,
HsfA2,0.5,Heat,3573.71,0.002,Root,1,,
HsfA2,0.5,Heat,3738.39,0.002,Root,2,,
HsfA2,1,Heat,26507.04,0.002,Root,1,,
HsfA2,1,Heat,25845.37,0.002,Root,2,,
HsfA2,3,Heat,22589.06,0.002,Root,1,,
HsfA2,3,Heat,24310.19,0.002,Root,2,,
HsfA2,6,Heat,248.00,0.025,Root,1,,
HsfA2,6,Heat,513.84,0.002,Root,2,,
HsfA2,12,Heat,443.25,0.002,Root,1,,
HsfA2,12,Heat,602.47,0.002,Root,2,,
HsfA2,24,Heat,47.21,0.361,Root,1,,
HsfA2,24,Heat,48.97,0.077,Root,2,,
HsfA1a ,0.5,Control,207.84,0.008,Root,1,,
HsfA1a ,0.5,Control,191.62,0.006,Root,2,,
HsfA1a ,1,Control,236.77,0.020,Root,1,,
HsfA1a ,1,Control,213.56,0.008,Root,2,,
HsfA1a ,3,Control,195.47,0.010,Root,1,,
HsfA1a ,3,Control,225.12,0.010,Root,2,,
HsfA1a ,6,Control,249.02,0.006,Root,1,,
HsfA1a ,6,Control,219.19,0.010,Root,2,,
HsfA1a ,12,Control,245.53,0.010,Root,1,,
HsfA1a ,12,Control,205.64,0.002,Root,2,,
HsfA1a ,24,Control,268.10,0.003,Root,1,,
HsfA1a ,24,Control,216.10,0.008,Root,2,,
HsfA1a ,0.5,Heat,249.40,0.003,,,,
HsfA1a ,0.5,Heat,236.14,0.065,,,,
HsfA1a ,1,Heat,144.58,0.106,,,,
HsfA1a ,1,Heat,155.36,0.031,,,,
HsfA1a ,3,Heat,178.83,0.020,,,,
HsfA1a ,3,Heat,199.91,0.031,,,,
HsfA1a ,6,Heat,257.10,0.006,,,,
HsfA1a ,6,Heat,207.44,0.016,,,,
HsfA1a ,12,Heat,320.80,0.003,,,,
HsfA1a ,12,Heat,309.48,0.004,,,,
HsfA1a ,24,Heat,189.26,0.003,,,,
HsfA1a ,24,Heat,211.90,0.008,,,,
HsfA1b,0.5,Control,465.48,0.008,,,,
HsfA1b,0.5,Control,439.00,0.006,,,,
HsfA1b,1,Control,605.38,0.005,,,,
HsfA1b,1,Control,482.52,0.005,,,,
HsfA1b,3,Control,515.83,0.004,,,,
HsfA1b,3,Control,515.01,0.004,,,,
HsfA1b,6,Control,470.26,0.005,,,,
HsfA1b,6,Control,489.71,0.006,,,,
HsfA1b,12,Control,418.11,0.006,,,,
HsfA1b,12,Control,419.57,0.006,,,,
HsfA1b,24,Control,446.92,0.005,,,,
HsfA1b,24,Control,567.09,0.004,,,,
HsfA1b,0.5,Heat,564.27,0.004,,,,
HsfA1b,0.5,Heat,374.52,0.006,,,,
HsfA1b,1,Heat,381.37,0.010,,,,
HsfA1b,1,Heat,393.00,0.005,,,,
